time_stamp,AmbientConditions_AmbientHumidity_U_Actual,AmbientConditions_AmbientTemperature_U_Actual,Machine1_RawMaterial_Property1,Machine1_RawMaterial_Property2,Machine1_RawMaterial_Property3,Machine1_RawMaterial_Property4,Machine1_RawMaterialFeederParameter_U_Actual,Machine1_Zone1Temperature_C_Actual,Machine1_Zone2Temperature_C_Actual,Machine1_MotorAmperage_U_Actual,Machine1_MotorRPM_C_Actual,Machine1_MaterialPressure_U_Actual,Machine1_MaterialTemperature_U_Actual,Machine1_ExitZoneTemperature_C_Actual,Machine2_RawMaterial_Property1,Machine2_RawMaterial_Property2,Machine2_RawMaterial_Property3,Machine2_RawMaterial_Property4,Machine2_RawMaterialFeederParameter_U_Actual,Machine2_Zone1Temperature_C_Actual,Machine2_Zone2Temperature_C_Actual,Machine2_MotorAmperage_U_Actual,Machine2_MotorRPM_C_Actual,Machine2_MaterialPressure_U_Actual,Machine2_MaterialTemperature_U_Actual,Machine2_ExitZoneTemperature_C_Actual,Machine3_RawMaterial_Property1,Machine3_RawMaterial_Property2,Machine3_RawMaterial_Property3,Machine3_RawMaterial_Property4,Machine3_RawMaterialFeederParameter_U_Actual,Machine3_Zone1Temperature_C_Actual,Machine3_Zone2Temperature_C_Actual,Machine3_MotorAmperage_U_Actual,Machine3_MotorRPM_C_Actual,Machine3_MaterialPressure_U_Actual,Machine3_MaterialTemperature_U_Actual,Machine3_ExitZoneTemperature_C_Actual,FirstStage_CombinerOperation_Temperature1_U_Actual,FirstStage_CombinerOperation_Temperature2_U_Actual,FirstStage_CombinerOperation_Temperature3_C_Actual,Stage1_Output_Measurement0_U_Actual,Stage1_Output_Measurement0_U_Setpoint,Stage1_Output_Measurement1_U_Actual,Stage1_Output_Measurement1_U_Setpoint,Stage1_Output_Measurement2_U_Actual,Stage1_Output_Measurement2_U_Setpoint,Stage1_Output_Measurement3_U_Actual,Stage1_Output_Measurement3_U_Setpoint,Stage1_Output_Measurement4_U_Actual,Stage1_Output_Measurement4_U_Setpoint,Stage1_Output_Measurement5_U_Actual,Stage1_Output_Measurement5_U_Setpoint,Stage1_Output_Measurement6_U_Actual,Stage1_Output_Measurement6_U_Setpoint,Stage1_Output_Measurement7_U_Actual,Stage1_Output_Measurement7_U_Setpoint,Stage1_Output_Measurement8_U_Actual,Stage1_Output_Measurement8_U_Setpoint,Stage1_Output_Measurement9_U_Actual,Stage1_Output_Measurement9_U_Setpoint,Stage1_Output_Measurement10_U_Actual,Stage1_Output_Measurement10_U_Setpoint,Stage1_Output_Measurement11_U_Actual,Stage1_Output_Measurement11_U_Setpoint,Stage1_Output_Measurement12_U_Actual,Stage1_Output_Measurement12_U_Setpoint,Stage1_Output_Measurement13_U_Actual,Stage1_Output_Measurement13_U_Setpoint,Stage1_Output_Measurement14_U_Actual,Stage1_Output_Measurement14_U_Setpoint,Machine4_Temperature1_C_Actual,Machine4_Temperature2_C_Actual,Machine4_Pressure_C_Actual,Machine4_Temperature3_C_Actual,Machine4_Temperature4_C_Actual,Machine4_Temperature5_C_Actual,Machine4_ExitTemperature_U_Actual,Machine5_Temperature1_C_Actual,Machine5_Temperature2_C_Actual,Machine5_Temperature3_C_Actual,Machine5_Temperature4_C_Actual,Machine5_Temperature5_C_Actual,Machine5_Temperature6_C_Actual,Machine5_ExitTemperature_U_Actual,Stage2_Output_Measurement0_U_Actual,Stage2_Output_Measurement0_U_Setpoint,Stage2_Output_Measurement1_U_Actual,Stage2_Output_Measurement1_U_Setpoint,Stage2_Output_Measurement2_U_Actual,Stage2_Output_Measurement2_U_Setpoint,Stage2_Output_Measurement3_U_Actual,Stage2_Output_Measurement3_U_Setpoint,Stage2_Output_Measurement4_U_Actual,Stage2_Output_Measurement4_U_Setpoint,Stage2_Output_Measurement5_U_Actual,Stage2_Output_Measurement5_U_Setpoint,Stage2_Output_Measurement6_U_Actual,Stage2_Output_Measurement6_U_Setpoint,Stage2_Output_Measurement7_U_Actual,Stage2_Output_Measurement7_U_Setpoint,Stage2_Output_Measurement8_U_Actual,Stage2_Output_Measurement8_U_Setpoint,Stage2_Output_Measurement9_U_Actual,Stage2_Output_Measurement9_U_Setpoint,Stage2_Output_Measurement10_U_Actual,Stage2_Output_Measurement10_U_Setpoint,Stage2_Output_Measurement11_U_Actual,Stage2_Output_Measurement11_U_Setpoint,Stage2_Output_Measurement12_U_Actual,Stage2_Output_Measurement12_U_Setpoint,Stage2_Output_Measurement13_U_Actual,Stage2_Output_Measurement13_U_Setpoint,Stage2_Output_Measurement14_U_Actual,Stage2_Output_Measurement14_U_Setpoint
06-03-2019 11:13,16.73,24.0,11.54,200,963.0,247,1299.99,72.0,72.5,75.48,10.48,421.29,80.9,75.1,12.59,236,601.11,257,220.97,68.98,69.09,72.81,13.93,230.23,76.5,60.0,9.02,186,421.16,200,190.8,78.0,78.0,339.71,13.71,238.83,70.8,65.0,106.7,69.3,80.0,12.79,13.75,0.0,22.74,12.12,13.02,21.53,21.88,32.35,32.55,0.0,2.74,1.99,4.25,2.89,2.97,20.99,21.3,18.89,19.52,7.95,8.65,5.88,6.16,0.0,2.02,3.2,3.16,14.44,17.72,360.0,361.0,15.0,316.0,15.0,304.0,192.0,310.0,290.0,269.0,240.5,245.0,63.0,150.3,12.61,12.05,6.71,11.71,10.53,11,20.51,20.73,0.0,31.36,2.63,2.71,0.92,0.01,2.93,2.75,20.14,19.39,16.28,16.47,7.95,7.93,5.8,5.65,2.0,1.85,3.41,2.89,8.87,11.71
06-03-2019 14:38,13.94,24.43,12.22,201,1048.06,252,1095.96,72.0,72.4,72.92,11.96,422.7,83.6,80.0,12.85,241,556.7,256,207.48,68.99,69.09,74.0,13.91,223.63,77.1,60.0,8.83,221,433.18,205,195.56,78.0,78.2,342.08,12.21,249.41,74.9,64.9,114.6,104.5,80.2,12.9,13.75,18.23,22.74,12.71,13.02,21.45,21.88,0.0,32.55,0.0,2.74,5.49,4.25,0.0,2.97,20.88,21.3,18.86,19.52,7.68,8.65,0.0,6.16,1.38,2.02,3.34,3.16,16.79,17.72,360.0,361.0,18.0,325.0,18.0,312.0,193.0,310.0,290.0,270.0,244.9,245.0,63.8,153.5,12.87,12.05,6.79,11.71,10.71,11,19.05,20.73,0.0,31.36,2.99,2.71,0.29,0.01,2.99,2.75,19.69,19.39,0.0,16.47,7.86,7.93,5.62,5.65,2.0,1.85,3.85,2.89,8.0,11.71
06-03-2019 11:02,17.04,23.69,11.54,200,963.0,247,1269.48,72.1,72.1,77.22,10.52,421.27,80.8,75.1,12.59,236,601.11,257,201.28,68.97,69.05,73.31,13.85,226.5,75.5,59.8,9.02,186,421.16,200,214.98,78.0,77.9,347.73,13.76,241.89,68.9,65.1,105.3,115.1,80.0,13.09,13.75,0.0,22.74,11.79,13.02,21.52,21.88,32.54,32.55,0.0,2.74,2.2,4.25,2.9,2.97,21.01,21.3,19.37,19.52,7.95,8.65,5.73,6.16,0.0,2.02,0.0,3.16,14.49,17.72,361.0,361.0,18.0,314.0,18.0,303.0,165.0,310.0,290.0,267.4,239.0,245.0,63.5,141.3,0.0,12.05,0.0,11.71,0.0,11,0.0,20.73,32.4,31.36,2.15,2.71,0.07,0.01,2.36,2.75,0.0,19.39,0.0,16.47,0.0,7.93,0.0,5.65,0.14,1.85,3.33,2.89,0.0,11.71
06-03-2019 12:11,16.63,23.67,11.54,200,963.0,247,1266.41,72.0,72.4,72.25,10.52,414.3,81.1,74.9,12.85,241,556.7,256,216.82,68.99,69.09,73.69,13.89,226.62,76.9,59.8,9.86,192,408.97,202,229.55,78.0,78.1,361.64,13.45,254.39,75.1,65.0,105.1,60.8,79.8,13.03,13.75,13.86,22.74,11.27,13.02,21.48,21.88,33.34,32.55,0.0,2.74,1.75,4.25,2.95,2.97,20.92,21.3,18.99,19.52,7.78,8.65,0.0,6.16,1.53,2.02,3.02,3.16,15.79,17.72,360.0,360.0,17.0,322.0,17.0,310.0,190.0,310.0,290.0,270.0,243.3,245.0,63.6,156.6,12.63,12.05,6.51,11.71,10.9,11,20.85,20.73,0.0,31.36,2.75,2.71,0.57,0.01,2.97,2.75,19.63,19.39,16.72,16.47,8.04,7.93,5.79,5.65,2.05,1.85,3.5,2.89,7.81,11.71
06-03-2019 14:13,13.94,24.33,11.54,200,1027.43,247,1268.57,72.0,72.0,71.84,11.93,407.11,82.4,80.0,12.85,241,556.7,256,214.67,68.98,69.0,74.0,13.93,226.33,77.2,60.0,8.83,221,433.18,205,204.16,78.0,77.9,344.68,12.7,247.43,75.1,65.0,117.3,105.0,80.2,12.92,13.75,0.0,22.74,11.46,13.02,21.53,21.88,34.34,32.55,0.0,2.74,0.0,4.25,0.0,2.97,20.92,21.3,18.91,19.52,7.67,8.65,0.0,6.16,1.56,2.02,3.22,3.16,0.0,17.72,360.0,361.0,18.0,325.0,18.0,312.0,193.0,310.0,290.0,270.0,244.8,245.0,63.9,154.6,13.0,12.05,6.72,11.71,10.69,11,19.7,20.73,0.0,31.36,2.96,2.71,0.55,0.01,3.01,2.75,19.69,19.39,0.0,16.47,7.85,7.93,5.55,5.65,2.04,1.85,3.95,2.89,8.16,11.71
06-03-2019 13:27,14.42,23.66,12.9,215,980.53,251,1277.14,72.0,71.6,63.77,11.22,376.41,81.0,74.9,12.85,241,556.7,256,208.07,69.0,69.1,73.5,13.95,228.98,77.1,60.0,8.83,221,433.18,205,192.55,78.0,78.1,341.72,13.26,247.21,75.3,65.0,115.1,103.3,80.1,12.98,13.75,13.34,22.74,11.72,13.02,21.47,21.88,33.51,32.55,0.0,2.74,1.93,4.25,0.0,2.97,20.85,21.3,19.03,19.52,7.82,8.65,0.0,6.16,1.48,2.02,3.17,3.16,15.14,17.72,360.0,359.0,17.0,326.0,17.0,311.0,193.0,310.0,290.0,270.0,243.5,245.0,63.4,158.2,13.16,12.05,5.78,11.71,11.15,11,20.63,20.73,0.0,31.36,2.95,2.71,0.6,0.01,2.99,2.75,20.22,19.39,16.56,16.47,7.88,7.93,5.58,5.65,2.1,1.85,3.72,2.89,0.0,11.71
06-03-2019 14:19,14.04,24.16,11.54,200,1027.43,247,1266.88,72.0,71.6,71.17,11.84,409.67,83.2,80.0,12.85,241,556.7,256,210.43,69.0,69.09,73.5,13.87,227.4,77.1,60.0,8.83,221,433.18,205,195.77,78.0,77.9,342.99,12.74,248.06,75.1,65.1,113.8,104.4,80.1,12.82,13.75,0.0,22.74,10.87,13.02,21.65,21.88,34.47,32.55,0.0,2.74,0.0,4.25,0.0,2.97,20.88,21.3,19.16,19.52,7.44,8.65,0.0,6.16,1.4,2.02,3.42,3.16,0.0,17.72,360.0,359.0,17.0,325.0,17.0,312.0,195.0,310.0,290.0,270.0,244.9,244.9,63.9,153.4,12.67,12.05,7.29,11.71,10.12,11,19.6,20.73,0.0,31.36,2.81,2.71,0.64,0.01,2.99,2.75,19.63,19.39,16.83,16.47,7.8,7.93,5.6,5.65,2.05,1.85,3.65,2.89,8.74,11.71
06-03-2019 12:28,15.93,23.53,11.54,200,1027.43,247,1269.92,72.0,71.6,73.46,10.7,419.77,81.2,74.9,12.85,241,556.7,256,204.71,69.01,69.12,73.13,13.94,228.07,77.1,60.0,9.86,192,408.97,202,185.67,78.0,78.1,365.16,13.35,256.16,75.4,65.0,104.8,76.2,80.1,13.04,13.75,13.84,22.74,11.06,13.02,21.52,21.88,33.54,32.55,0.0,2.74,1.64,4.25,2.93,2.97,20.88,21.3,19.24,19.52,7.64,8.65,0.0,6.16,1.7,2.02,3.0,3.16,15.79,17.72,361.0,359.0,18.0,324.0,18.0,310.0,192.0,310.0,290.0,270.0,242.1,245.0,63.3,156.8,12.81,12.05,6.43,11.71,10.87,11,20.78,20.73,0.0,31.36,2.64,2.71,0.72,0.01,2.99,2.75,19.7,19.39,16.71,16.47,7.98,7.93,5.85,5.65,2.16,1.85,3.5,2.89,7.9,11.71
06-03-2019 13:42,13.94,24.19,12.9,215,980.53,251,1256.57,72.0,72.1,64.44,11.87,371.1,81.2,75.0,12.85,241,556.7,256,213.43,68.97,69.08,73.13,13.87,224.07,77.0,60.1,8.83,221,433.18,205,213.43,78.0,78.0,342.56,12.99,247.96,75.3,65.0,116.4,104.2,80.0,12.89,13.75,0.0,22.74,11.44,13.02,21.52,21.88,34.21,32.55,0.0,2.74,1.65,4.25,0.0,2.97,20.88,21.3,18.66,19.52,7.81,8.65,0.0,6.16,1.43,2.02,3.31,3.16,14.95,17.72,360.0,360.0,17.0,324.0,17.0,311.0,191.0,309.9,290.0,270.0,243.1,245.0,63.6,156.2,12.93,12.05,5.74,11.71,11.13,11,20.48,20.73,0.0,31.36,2.95,2.71,0.72,0.01,3.05,2.75,20.19,19.39,0.0,16.47,7.84,7.93,5.54,5.65,2.13,1.85,3.78,2.89,7.55,11.71
06-03-2019 14:40,13.94,24.43,12.22,201,1048.06,252,1264.85,72.0,71.5,73.05,11.96,427.47,83.6,80.0,12.85,241,556.7,256,199.52,68.99,69.09,73.94,13.85,220.72,77.1,60.0,8.83,221,433.18,205,199.52,78.0,78.2,339.69,12.37,248.47,74.9,65.1,114.3,104.5,79.8,12.89,13.75,0.0,22.74,11.32,13.02,21.5,21.88,34.04,32.55,0.0,2.74,0.0,4.25,0.0,2.97,20.88,21.3,18.9,19.52,7.69,8.65,0.0,6.16,1.4,2.02,3.38,3.16,0.0,17.72,359.0,362.0,19.0,325.0,19.0,312.0,196.0,310.0,290.1,270.0,244.9,245.0,63.7,153.8,12.93,12.05,6.47,11.71,10.92,11,19.14,20.73,0.0,31.36,2.97,2.71,0.42,0.01,2.96,2.75,19.76,19.39,0.0,16.47,7.82,7.93,5.54,5.65,2.03,1.85,3.81,2.89,7.99,11.71
